noise_multiplier,secure_aggregation,legal_accuracy,privacy_strength,leakage_risk
0.0,False,0.7380633315676959,0.0,0.4136726709357214
0.0,True,0.7282516280860083,0.0,0.31665144941647244
0.2,False,0.7213865126432595,0.2591817793182821,0.32021343602397584
0.2,True,0.719521129856614,0.2591817793182821,0.24406044811000602
0.5,False,0.6993586712459766,0.5276334472589853,0.2017565688669483
0.5,True,0.7050660899072801,0.5276334472589853,0.15577216765396965
0.8,False,0.6888563657122577,0.698805788087798,0.14078050469580666
0.8,True,0.690910002915766,0.698805788087798,0.10837556864033127
1.0,False,0.6753259582935945,0.7768698398515702,0.10894662827827752
1.0,True,0.6743845248207632,0.7768698398515702,0.0682329996853033
1.5,False,0.6506028817864661,0.8946007754381357,0.04309120518949639
1.5,True,0.6512939231980984,0.8946007754381357,0.037985158387596724
