round,method,legal_accuracy,client_drift
1,FedAvg,0.5199226022905532,0.37101932530500964
2,FedAvg,0.5236969092788177,0.3692175977181309
3,FedAvg,0.5335395135918571,0.3580540043479069
4,FedAvg,0.5362432730443774,0.35673079533654917
5,FedAvg,0.5437708903756017,0.35055419710807517
6,FedAvg,0.554199554213781,0.3459696170570249
7,FedAvg,0.5490126724106928,0.34273177194875765
8,FedAvg,0.5535395267295881,0.33678765281060785
9,FedAvg,0.5597968250691808,0.3264653743404755
10,FedAvg,0.5642992668650236,0.3204056705798257
11,FedAvg,0.5658054395526175,0.3205327855355078
12,FedAvg,0.5691104201360572,0.31207210189344425
13,FedAvg,0.5751124335128686,0.30936600665514635
14,FedAvg,0.5777288957543615,0.3064430079877205
15,FedAvg,0.5761234446705907,0.2969312395524863
16,FedAvg,0.5819371417860744,0.29153522765862233
17,FedAvg,0.5851292884951491,0.291889767751285
18,FedAvg,0.5846107349878525,0.2871541290037305
19,FedAvg,0.5912098557845615,0.28234474984524427
20,FedAvg,0.5904212615187161,0.2787598652952673
21,FedAvg,0.5983879085723915,0.2728822995590785
22,FedAvg,0.5984413428326871,0.2675696504093769
23,FedAvg,0.6004401701062005,0.26632811321317734
24,FedAvg,0.6006288890442147,0.2608529894202551
25,FedAvg,0.6041991776749833,0.2557133759423146
26,FedAvg,0.6006407486364016,0.25628335045276324
27,FedAvg,0.6052472398076767,0.2514873506959234
28,FedAvg,0.6116684100641133,0.24882668812046574
29,FedAvg,0.6060659465488225,0.24250268240748188
30,FedAvg,0.6167988519433261,0.23969580958335665
31,FedAvg,0.6107659516191449,0.23560638552467836
32,FedAvg,0.6199596452876521,0.23248451774706458
33,FedAvg,0.6167801660503671,0.23136164835832607
34,FedAvg,0.6232248899633553,0.22617655046469126
35,FedAvg,0.6227979870758422,0.22528388957434575
36,FedAvg,0.6192596613366589,0.22213708892332285
37,FedAvg,0.6290322559206158,0.22244927287692634
38,FedAvg,0.6309759185780934,0.21260930937537484
39,FedAvg,0.6277723872637282,0.21422021817715028
40,FedAvg,0.6284216914119501,0.20936759686310277
41,FedAvg,0.6299936713199585,0.20667236717732845
42,FedAvg,0.6287353476795888,0.20100532515354877
43,FedAvg,0.6361032526736381,0.20023915791516653
44,FedAvg,0.6322860644978977,0.19994940982587073
45,FedAvg,0.6348303336231579,0.19564963162904053
46,FedAvg,0.633636406749495,0.19337551539022269
47,FedAvg,0.635134959095744,0.19007719396112294
48,FedAvg,0.634142598019332,0.1904585621149678
49,FedAvg,0.642676468437742,0.18564203440705285
50,FedAvg,0.6393405154800674,0.1788636682366767
51,FedAvg,0.6435671910111596,0.1795030533848677
52,FedAvg,0.6415462399053271,0.17461471277315505
53,FedAvg,0.6402311127290229,0.1697561887295489
54,FedAvg,0.6421145319387196,0.17294650347599166
55,FedAvg,0.6421673221043385,0.17446170175743153
56,FedAvg,0.6445994062640032,0.16971613226123414
57,FedAvg,0.644152219626776,0.16514286996552693
58,FedAvg,0.6450565842856432,0.163510697702579
59,FedAvg,0.642475623815233,0.16559484800716204
60,FedAvg,0.6448232801204543,0.16162711998597146
61,FedAvg,0.6528167070417892,0.15942217643340134
62,FedAvg,0.6464305458991736,0.15726898822175547
63,FedAvg,0.6458513924679792,0.15553723690645427
64,FedAvg,0.6505754958627334,0.15518994236510922
65,FedAvg,0.6543162648755532,0.15283652089839891
66,FedAvg,0.6462450456164078,0.15034801279531906
67,FedAvg,0.650476590146324,0.14604845762525334
68,FedAvg,0.6496840085991955,0.14740579915286958
69,FedAvg,0.6467586774333637,0.14329570387330048
70,FedAvg,0.6546922100853665,0.1451631778156146
71,FedAvg,0.6528474628400835,0.13877479812586618
72,FedAvg,0.6535476825541956,0.13941265859663815
73,FedAvg,0.6514776919329044,0.13807324442085786
74,FedAvg,0.6554864466766184,0.13386727160636688
75,FedAvg,0.6528783431815716,0.1384171398327552
76,FedAvg,0.6544287982215348,0.13637817597598256
77,FedAvg,0.6518815722661929,0.13104140173019047
78,FedAvg,0.651894894717497,0.13204977692998973
79,FedAvg,0.6598750611604379,0.12982753684034024
80,FedAvg,0.654661226805728,0.12243253530800495
81,FedAvg,0.657360854823156,0.12677508220829237
82,FedAvg,0.6566772843416201,0.124790943493088
83,FedAvg,0.6557379897544975,0.12374368450872789
84,FedAvg,0.6558105864219276,0.12011095778374534
85,FedAvg,0.6594883698437344,0.12043688575002819
86,FedAvg,0.6569471037661313,0.11935293124354376
87,FedAvg,0.6576442038172943,0.12084209260379876
88,FedAvg,0.658402572457472,0.11791339724111902
89,FedAvg,0.6620946414243701,0.1160338598311271
90,FedAvg,0.6608279745281787,0.11792473580656226
91,FedAvg,0.6601479551620433,0.11259914327972456
92,FedAvg,0.6575158023721455,0.11179426433843165
93,FedAvg,0.6552598748437913,0.10782337497431366
94,FedAvg,0.6624467816327546,0.11349876930673802
95,FedAvg,0.6626833261834154,0.11121245231644555
96,FedAvg,0.6595412622556429,0.1100599221007621
97,FedAvg,0.661762271169849,0.10852532714291088
98,FedAvg,0.6626482227495847,0.10638766092370558
99,FedAvg,0.6629589675711768,0.10559637384231604
100,FedAvg,0.6633855298235033,0.10367728906987432
1,FedProx,0.5251686928846953,0.35755139525676305
2,FedProx,0.5315063988184369,0.3539011661220238
3,FedProx,0.5412355053729181,0.3503708367458329
4,FedProx,0.5435238801905501,0.3454523065802129
5,FedProx,0.5466459538615023,0.3386573931017534
6,FedProx,0.5498625635741745,0.3363070973350334
7,FedProx,0.5542969397751071,0.3295988246924077
8,FedProx,0.5654396807336759,0.3217710226077592
9,FedProx,0.5664160901827588,0.31744485388575916
10,FedProx,0.5692041332470168,0.3161131757345587
11,FedProx,0.5719153090676936,0.31071144973989195
12,FedProx,0.5734316950146233,0.301351389781922
13,FedProx,0.580221393948535,0.30329333297465966
14,FedProx,0.5865694889979095,0.29732355445068737
15,FedProx,0.5861659452610594,0.2944235258487299
16,FedProx,0.5899302802239197,0.28665710244687953
17,FedProx,0.5930954849653911,0.2825976837184337
18,FedProx,0.5971166244542941,0.27677632925078083
19,FedProx,0.594925110096661,0.2800174572981699
20,FedProx,0.6018055087575688,0.2705799281383455
21,FedProx,0.6026513926436055,0.27016472492835614
22,FedProx,0.6104704274061297,0.2618242021440645
23,FedProx,0.6080099449895083,0.2596446502855385
24,FedProx,0.6144645433267764,0.25224026431048985
25,FedProx,0.6196284537227326,0.25114984704936133
26,FedProx,0.6163495200679161,0.25028112564169275
27,FedProx,0.6176374047603856,0.2422724180181351
28,FedProx,0.6220880197456539,0.24344575966089305
29,FedProx,0.62350198185864,0.2385631624206634
30,FedProx,0.6224472025764538,0.23244904473512826
31,FedProx,0.6286592020350535,0.23024180342341585
32,FedProx,0.6351024630097019,0.22709364295891626
33,FedProx,0.6299946986821933,0.224737189354643
34,FedProx,0.6318096486985704,0.2206450422842085
35,FedProx,0.6308712284278201,0.2169994945172417
36,FedProx,0.6364918346412152,0.2150362804107623
37,FedProx,0.633265190459814,0.2106367324122814
38,FedProx,0.635102006142508,0.20720922796700506
39,FedProx,0.6436256572787776,0.20684147017099158
40,FedProx,0.6383832983442228,0.20590396283843349
41,FedProx,0.6456077743041714,0.19832980435828484
42,FedProx,0.6481536871952016,0.19869494866648102
43,FedProx,0.6455301290896592,0.1947355807598059
44,FedProx,0.6475401773071894,0.19147607983830722
45,FedProx,0.6528225549754064,0.19257859627602728
46,FedProx,0.6474209297306606,0.18732237552039172
47,FedProx,0.6472384336986629,0.18888714162668008
48,FedProx,0.6459265707321624,0.18190671261741448
49,FedProx,0.6510440738230544,0.18185849269648846
50,FedProx,0.6562542966532464,0.178292492904742
51,FedProx,0.6555600811262895,0.17494230068160407
52,FedProx,0.6506872201310678,0.17536995078476542
53,FedProx,0.6517485363284822,0.1716691320903062
54,FedProx,0.6535734441947516,0.17100953722931828
