seed,round,method,legal_accuracy,client_drift,cumulative_communication_mb
1,1,FedAvg,0.537145917322553,0.3686109031416887,23.37719733822284
1,2,FedAvg,0.5418627042933367,0.36308312742075766,46.11370653129985
1,3,FedAvg,0.5395590872885462,0.3485594827305663,69.65232507983717
1,4,FedAvg,0.5382492778065527,0.34401542885468295,91.27165539734142
1,5,FedAvg,0.55018294056717,0.3378315504268882,113.98101011100043
1,6,FedAvg,0.5589235617899475,0.3354298069803452,136.4425465735383
1,7,FedAvg,0.5590976990618292,0.3264933663790867,159.0886561913738
1,8,FedAvg,0.5607332695073601,0.3213062585446296,183.3774362969292
1,9,FedAvg,0.5649542213204742,0.3168354728040047,206.68727171096427
1,10,FedAvg,0.5672013722249812,0.30805698722837227,229.18744440949496
1,11,FedAvg,0.5695722503683122,0.30506976267750774,252.94002517887284
1,12,FedAvg,0.569386005130037,0.29700580912429136,276.04055584421053
1,13,FedAvg,0.5782472518956777,0.2928952018522918,298.5792344702347
1,14,FedAvg,0.5770385514434162,0.28796712337817604,321.79311390033257
1,15,FedAvg,0.5860132568787124,0.27938919224701664,344.85791534568153
1,16,FedAvg,0.5907582839466712,0.27302876489276434,366.9557126035728
1,17,FedAvg,0.5896669522470168,0.27831483254478834,390.5543131057105
1,18,FedAvg,0.5892506329488298,0.2674194269594754,412.67559527406956
1,19,FedAvg,0.5955528074675029,0.2633673270956626,436.61829781033634
1,20,FedAvg,0.5889034313256536,0.2618459320821065,460.4459591007784
1,21,FedAvg,0.6003063001228808,0.2558787695758575,482.69593590189737
1,22,FedAvg,0.5998765757667688,0.24830256498763442,507.9882796583047
1,23,FedAvg,0.5986191408992251,0.24698598322881843,527.9304333760016
1,24,FedAvg,0.6066964376567923,0.23562038959394918,551.2104034507307
1,25,FedAvg,0.6076160580209827,0.23696784284612032,575.2114127881995
1,26,FedAvg,0.6052503055587286,0.23171525116351857,598.2993953338239
1,27,FedAvg,0.6132593351124567,0.22841384577053603,620.9752486618981
1,28,FedAvg,0.6085810017422221,0.21981396302628234,643.8504157556259
1,29,FedAvg,0.612219287216605,0.22212596337680482,666.0893130522957
1,30,FedAvg,0.6111816632794048,0.21326029272627556,688.89423516475
1,31,FedAvg,0.6138221581362066,0.21039704434356615,711.4385461801768
1,32,FedAvg,0.6133052002620593,0.20485194193019368,735.4602590381938
1,33,FedAvg,0.6140847836180884,0.20640920860802414,757.4799889949555
1,34,FedAvg,0.6232146047415213,0.19640991760694498,783.9110638191339
1,35,FedAvg,0.6258363226959004,0.2007820464692567,805.7184112572305
1,36,FedAvg,0.6221023624547137,0.19261946987204745,829.246712168835
1,37,FedAvg,0.628715846657954,0.19907619494281992,851.2181437002614
1,38,FedAvg,0.6254418317215874,0.19224738723933332,874.2806461701364
1,39,FedAvg,0.6284508268255784,0.18961951219457757,897.9978133198812
1,40,FedAvg,0.6277820857976905,0.1878638837215257,918.3255350205253
1,41,FedAvg,0.6282528426708343,0.18823363631272114,943.2554520296128
1,42,FedAvg,0.6258044872973121,0.17926372355241627,964.2245725537888
1,43,FedAvg,0.6277591490990073,0.1836317484273065,989.7777390928966
1,44,FedAvg,0.6327345150960676,0.1714898339733022,1012.4412573828491
1,45,FedAvg,0.6369906660145933,0.17060601982123103,1035.692416596101
1,46,FedAvg,0.6323626634489653,0.1720057737531733,1057.3229441007172
1,47,FedAvg,0.6303994016810888,0.16126894236762906,1080.6986337803366
1,48,FedAvg,0.638125019307529,0.16644431140292432,1104.1023633587688
1,49,FedAvg,0.6348253895498295,0.16019157246817742,1126.5372612817487
1,50,FedAvg,0.6378350637842327,0.15839913081676096,1151.5283669790397
1,51,FedAvg,0.64666766989206,0.15269844458574103,1173.8794022762545
1,52,FedAvg,0.6421558865311362,0.15089519621479872,1196.2067542827076
1,53,FedAvg,0.6346776377647001,0.14738927611762415,1218.5010652186104
1,54,FedAvg,0.6386142719458952,0.14912456368245977,1240.922914701648
1,55,FedAvg,0.6423142660647315,0.14811054175459293,1265.1947697862902
1,56,FedAvg,0.6400881132269759,0.1477059533419634,1287.778454421743
1,57,FedAvg,0.6426177721886116,0.14220521383341445,1308.0618480789622
1,58,FedAvg,0.6485549948698497,0.13818313158329892,1334.2823406347827
1,59,FedAvg,0.6456601644832877,0.13735505795396175,1356.4464509755094
1,60,FedAvg,0.6459349763681602,0.1346255106136569,1382.7065123388097
1,61,FedAvg,0.6449431498784022,0.13039317405508463,1403.5634743591136
1,62,FedAvg,0.6486366906499988,0.13713317348936008,1425.8855989886688
1,63,FedAvg,0.6389283023070271,0.1330292767001808,1449.5913978123144
