seed,noise_multiplier,secure_aggregation,legal_accuracy,attack_auc,communication_mb_per_round
1,0.0,False,0.7277752080863744,0.7946453184518476,4.465660390037425
1,0.2,False,0.7107282490110675,0.7521559034058222,4.499474560923935
1,0.5,False,0.7012208116463632,0.6956709048306948,4.499314780633396
1,0.8,False,0.6815104894546128,0.6596141964897885,4.453283377260218
1,1.0,False,0.6898546541410318,0.6211684598488533,4.469125179630874
1,1.5,False,0.6535437267836377,0.5331388044051804,4.444393982135493
1,0.0,True,0.7189053449551661,0.7420578954658174,5.001938570653109
1,0.2,True,0.7161776225556513,0.7121185065532475,4.972231804388204
1,0.5,True,0.7002509434156952,0.6576984698879201,5.030850081064051
1,0.8,True,0.6867205552898153,0.6033962372339129,5.051529835888101
1,1.0,True,0.6754071577197897,0.5701670239023345,5.041851392115937
1,1.5,True,0.6529619104646655,0.496365428870853,5.009171776057818
2,0.0,False,0.7235095877847226,0.7937102297546726,4.474616653602867
2,0.2,False,0.7061261059235034,0.7672138745180005,4.520285039284014
2,0.5,False,0.6985804365108965,0.7236686110534164,4.439031402301723
2,0.8,False,0.6824622998747623,0.6631331386033366,4.41152936046079
2,1.0,False,0.6664393860092029,0.631914888671783,4.4282954057410215
2,1.5,False,0.6490051141793471,0.5201628018981325,4.3831811157143
2,0.0,True,0.7141636827551232,0.7455157036084372,4.906493993786866
2,0.2,True,0.712152166391851,0.7192164578197373,4.957476171861084
2,0.5,True,0.6985303255324058,0.6710069082485257,5.019789526570205
2,0.8,True,0.6825930951319541,0.6091457351943979,4.950684409583853
2,1.0,True,0.6749187214481879,0.5746854852203082,4.9695064107335485
2,1.5,True,0.6539095358983738,0.4973195827557222,5.000073420724705
3,0.0,False,0.7179336114374867,0.7872765253639201,4.443442397362477
3,0.2,False,0.7158519020693529,0.7653429059513872,4.45210171385858
3,0.5,False,0.6958361025313867,0.7001654190135378,4.436601353724758
3,0.8,False,0.6829897422235425,0.6396148432129596,4.355792679502441
3,1.0,False,0.6812253078776275,0.6298004942613744,4.424760808870086
3,1.5,False,0.6504356106590579,0.5321727463652595,4.453008407714304
3,0.0,True,0.717841847242199,0.7383568342350594,4.973786248152469
3,0.2,True,0.7110745230851175,0.710621973640482,5.0446585604403
3,0.5,True,0.69959184693253,0.6495455241185145,5.0424110686100265
3,0.8,True,0.6872546619505799,0.6156137192811106,4.980078135056647
3,1.0,True,0.6753737869657833,0.5746910628160148,4.914816706130642
3,1.5,True,0.6500218429077537,0.492358721985921,5.039228210545173
4,0.0,False,0.7180880185951435,0.7863757590732477,4.488713613261301
4,0.2,False,0.7161587933269273,0.7620047531041322,4.490171632051705
4,0.5,False,0.6990493313797518,0.7105352583523716,4.570200500627413
4,0.8,False,0.683673047273046,0.6537274391581928,4.360823673187356
4,1.0,False,0.6743257572258495,0.6164723567301299,4.453617239336878
4,1.5,False,0.659636440275065,0.5304951156595381,4.428072699068841
4,0.0,True,0.7174611109418833,0.75961673162301,5.017698998961451
4,0.2,True,0.7133513955546826,0.7098460364503089,4.977583362538322
4,0.5,True,0.7010764965453978,0.6815834032280272,4.937656183672165
4,0.8,True,0.6906712620786423,0.6176560126276219,4.879288226294033
4,1.0,True,0.6845818807950025,0.5566875645450832,4.987745137593615
4,1.5,True,0.6441611928429628,0.4958344257597306,4.9574019779432605
5,0.0,False,0.7249774448669292,0.785217298552475,4.518900492745236
5,0.2,False,0.7097143435577753,0.7692459490786351,4.481484898275676
5,0.5,False,0.6962118447483924,0.6984862584362641,4.396728688903314
5,0.8,False,0.6842755662120705,0.6615061207954932,4.477687903793553
5,1.0,False,0.6705152262754723,0.6106227756939444,4.515573233049844
5,1.5,False,0.6524085173665249,0.547333292556679,4.436729084090156
5,0.0,True,0.7222417004116626,0.7378574884328359,5.04606337299501
5,0.2,True,0.713813979213371,0.7157546022699127,4.928628775056855
5,0.5,True,0.7032918999925529,0.6468371029445787,5.044613176026851
5,0.8,True,0.6850413618136892,0.6256545281481759,5.0781201439362365
5,1.0,True,0.6793683546731756,0.5857845374520799,5.00268293731742
5,1.5,True,0.6479257140328126,0.4853037588671224,4.965765032138311
