seed,variant,legal_accuracy,citation_f1,hallucination_rate
1,Full framework,0.7179890135836713,0.7722742621916933,0.138474845459141
1,No jurisdiction embedding,0.6984792829205325,0.748865284511774,0.15251318019007987
1,No citation conflict,0.7006179476330662,0.7296438332069989,0.1657325356750778
1,No reasoning conflict,0.6962413339060028,0.7582079378356442,0.16357822171955083
1,No verdict conflict,0.705023056056309,0.7483455597238177,0.1518757946206327
1,No rule alignment,0.6938976365301668,0.7360305053071058,0.16747218005143175
1,No citation verifier,0.691998521304859,0.7160762346505589,0.18462724483410364
1,No debate agents,0.6986150195816853,0.7521030296454434,0.16259093066008543
1,No privacy auditor,0.7078472486880654,0.7644754212495417,0.14649228629746958
2,Full framework,0.7118797880612753,0.7585706550471498,0.1441694014674793
2,No jurisdiction embedding,0.6974674208489817,0.7496965271572847,0.15720885760393435
2,No citation conflict,0.70689611163903,0.7307611292315297,0.17211402414118918
2,No reasoning conflict,0.7004195491035184,0.735334670713568,0.16271800047129004
2,No verdict conflict,0.6987101525282666,0.7592161685159352,0.14707723684991986
2,No rule alignment,0.7061465669970305,0.7445563048915094,0.16061741977145758
2,No citation verifier,0.6884691478265448,0.7132989035991169,0.18751790181078337
2,No debate agents,0.7048668941025985,0.7481329491200772,0.15975297995494717
2,No privacy auditor,0.7145282003275076,0.7587713316435543,0.1524505975385755
3,Full framework,0.7249699410097863,0.7689971040190124,0.14467693366943168
3,No jurisdiction embedding,0.6916249152482634,0.7518976157264217,0.15258683361072523
3,No citation conflict,0.7014174007814011,0.7223705945052115,0.16734996292062482
3,No reasoning conflict,0.698650292309125,0.7428374818062736,0.16647123625901242
3,No verdict conflict,0.701814493810764,0.7401315576186126,0.14917917360644098
3,No rule alignment,0.697264782348821,0.7361738179177568,0.16748045160925906
3,No citation verifier,0.6929261468211836,0.7231998429626543,0.18358341328653718
3,No debate agents,0.702319333999597,0.746623982998511,0.15427406450294975
3,No privacy auditor,0.7064756444120212,0.7625609457454553,0.1521927783205217
4,Full framework,0.713646579089945,0.7682877159429284,0.13823041490746849
4,No jurisdiction embedding,0.6990539896345456,0.7390080878334325,0.15535914607823417
4,No citation conflict,0.7032185971599906,0.7152199726408788,0.1707350591404859
4,No reasoning conflict,0.7048985017732295,0.7441792010500092,0.16119510057426462
4,No verdict conflict,0.7067437103943016,0.7514088108632339,0.14173866479253042
4,No rule alignment,0.6909966327047056,0.733996892546051,0.15794051188113584
4,No citation verifier,0.6972543135987326,0.7151909561410694,0.18586927026930786
4,No debate agents,0.6992033715562019,0.7405958672715469,0.15853182803852764
4,No privacy auditor,0.7118909790269787,0.7575512843613087,0.1504001060108354
5,Full framework,0.7173111089430098,0.7585458817749703,0.14484534737351257
5,No jurisdiction embedding,0.6917598733088963,0.7403965611333977,0.15313887612491484
5,No citation conflict,0.7041217760030403,0.7197757527608565,0.16442797759501068
5,No reasoning conflict,0.6960402672815059,0.7447720516470125,0.16065854419953196
5,No verdict conflict,0.7045395235022074,0.7536745788656865,0.15434885891456784
5,No rule alignment,0.6971546974813103,0.7393041197288931,0.16586491843326584
5,No citation verifier,0.6902702834693059,0.7096743538884203,0.18968172721634272
5,No debate agents,0.7020036459230511,0.7462097431212731,0.16164905117397435
5,No privacy auditor,0.7108139699047376,0.7537260343546659,0.14818007919884785
